"country","exports","pop2021"
"CHINA","2157000000000","1444216.1070"
"UNITED STATES","1576000000000","332915.0730"
"GERMANY","1401000000000","83900.4730"
"JAPAN","683300000000","126050.8040"
"SOUTH KOREA","577400000000","51305.1860"
"FRANCE","551800000000","65426.1790"
"NETHERLANDS","526400000000","17173.0990"
"ITALY","499100000000","60367.4770"
"HONG KONG","496900000000","7552.8100"
"UNITED KINGDOM","436500000000","68207.1160"
"CANADA","433000000000","38067.9030"
"MEXICO","406500000000","130262.2160"
"SINGAPORE","372900000000","5896.6860"
"TAIWAN","344600000000","23855.0100"
"SWITZERLAND","336800000000","8715.4940"
"RUSSIA","336800000000","145912.0250"
"UNITED ARAB EMIRATES","314700000000","9991.0890"
"BELGIUM","309100000000","11632.3260"
"SPAIN","301500000000","46745.2160"
"INDIA","299300000000","1393409.0380"
"SAUDI ARABIA","231300000000","35340.6830"
"THAILAND","228200000000","69950.8500"
"IRELAND","225100000000","4982.9070"
"AUSTRALIA","224500000000","25788.2150"
"POLAND","221400000000","37797.0050"
"BRAZIL","217200000000","213993.4370"
"VIETNAM","214000000000","98168.8330"
"MALAYSIA","188200000000","32776.1940"
"SWEDEN","169700000000","10160.1690"
"INDONESIA","168800000000","276361.7830"
"AUSTRIA","161800000000","9043.0700"
"CZECH REPUBLIC","157400000000","10724.5550"
"TURKEY","157300000000","85042.7380"
"DENMARK","113200000000","5813.2980"
"NORWAY","102800000000","5465.6300"
"HUNGARY","98720000000","9634.1640"
"IRAN","91990000000","85028.7590"
"SLOVAKIA","80570000000","5460.7210"
"SOUTH AFRICA","78250000000","60041.9940"
"PUERTO RICO","73160000000","2828.2550"
"ROMANIA","64920000000","19127.7740"
"CHILE","64510000000","19212.3610"
"PHILIPPINES","63230000000","111046.9130"
"PORTUGAL","62600000000","10167.9250"
"ISRAEL","60600000000","8789.7740"
"ARGENTINA","59690000000","45605.8260"
"FINLAND","59600000000","5548.3600"
"IRAQ","56740000000","41179.3500"
"QATAR","56260000000","2930.5280"
"KUWAIT","54090000000","4328.5500"
"KAZAKHSTAN","49290000000","18994.9620"
"PERU","42470000000","33359.4180"
"NIGERIA","40810000000","211400.7080"
"NEW ZEALAND","37350000000","4860.6430"
"UKRAINE","36850000000","43466.8190"
"BANGLADESH","35910000000","166303.4980"
"COLOMBIA","34300000000","51265.8440"
"ANGOLA","33820000000","33933.6100"
"ALGERIA","33150000000","44616.6240"
"BULGARIA","32050000000","6896.6630"
"OMAN","31900000000","5223.3750"
"SLOVENIA","30230000000","2078.7240"
"GREECE","29230000000","10370.7440"
"VENEZUELA","29160000000","28704.9540"
"LITHUANIA","26380000000","2689.8620"
"MOROCCO","24570000000","37344.7950"
"BELARUS","24200000000","9442.8620"
"EGYPT","23530000000","104258.3270"
"PAKISTAN","21940000000","225199.9370"
"LIBYA","19720000000","6958.5320"
"ECUADOR","19120000000","17888.4750"
"LUXEMBOURG","18400000000","634.8140"
"CROATIA","15760000000","4081.6510"
"AZERBAIJAN","15690000000","10223.3420"
"PANAMA","15480000000","4381.5790"
"SERBIA","14690000000","8697.5500"
