Country,Year,GDP Total
Afghanistan,2021,26586232847.96875
Afghanistan,2022,28188274009.28125
Afghanistan,2023,29865224243.28125
Afghanistan,2024,31618947531.8125
Afghanistan,2025,33451313060.0
Afghanistan,2026,35364195222.09375
Afghanistan,2027,37359473625.90625
Afghanistan,2028,39439033096.0
Afghanistan,2029,41604763681.875
Afghanistan,2030,43858560661.8125
Albania,2021,17903560982.12793
Albania,2022,18715375338.36621
Albania,2023,19546945521.62793
Albania,2024,20398404606.155273
Albania,2025,21269885976.45996
Albania,2026,22161523327.27539
Albania,2027,23073450664.092773
Albania,2028,24005802303.311523
Albania,2029,24958712872.55371
Albania,2030,25932317310.970703
Algeria,2021,248054667571.75
Algeria,2022,260226908663.75
Algeria,2023,272865780285.25
Algeria,2024,285981601243.25
Algeria,2025,299584718901.0
Algeria,2026,313685509249.25
Algeria,2027,328294376918.25
Algeria,2028,343421755216.75
Algeria,2029,359078106138.5
Algeria,2030,375273920400.75
Angola,2021,178965274202.5
Angola,2022,191113597949.0
Angola,2023,203799129883.5
Angola,2024,217033848026.25
Angola,2025,230829763593.75
Angola,2026,245198921027.25
Angola,2027,260153398034.25
Angola,2028,275705305609.0
Angola,2029,291866788077.75
Angola,2030,308650023120.0
Argentina,2021,738034832164.0
Argentina,2022,777164147692.5
Argentina,2023,817934209834.5
Argentina,2024,860383711962.0
Argentina,2025,904551455113.0
Argentina,2026,950476348104.0
Argentina,2027,998197407553.5
Argentina,2028,1047753758123.0
Argentina,2029,1099184632444.0
Argentina,2030,1152529371421.5
Armenia,2021,16443042836.75
Armenia,2022,17380208142.0
Armenia,2023,18350520678.070312
Armenia,2024,19354547252.273438
Armenia,2025,20392856210.242188
Armenia,2026,21466017437.351562
Armenia,2027,22574602359.046875
Armenia,2028,23719183943.820312
Armenia,2029,24900336703.773438
Armenia,2030,26118636696.53125
Australia,2021,1913567562008.0
Australia,2022,2014608380098.0
Australia,2023,2119438673103.0
Australia,2024,2228134911895.0
Australia,2025,2340773777825.0
Australia,2026,2457432162828.0
Australia,2027,2578187169680.0
Australia,2028,2703116112158.0
Australia,2029,2832296515330.0
Australia,2030,2965806115626.0
Austria,2021,487912690722.25
Austria,2022,496922942166.5
Austria,2023,505629948413.0
Austria,2024,514016478693.25
Austria,2025,522065252498.0
Austria,2026,529758939525.0
Austria,2027,537080159617.25
Austria,2028,544011482747.75
Austria,2029,550535428934.0
Austria,2030,556634468225.5
Azerbaijan,2021,82897286467.375
Azerbaijan,2022,88039321924.25
Azerbaijan,2023,93376489196.0
Azerbaijan,2024,98912349980.6875
Azerbaijan,2025,104650475703.125
Azerbaijan,2026,110594447509.8125
Azerbaijan,2027,116747856290.5
Azerbaijan,2028,123114302678.9375
Azerbaijan,2029,129697397068.875
Azerbaijan,2030,136500759622.5
Bahrain,2021,47776214972.3125
Bahrain,2022,50554514665.15625
Bahrain,2023,53441735076.625
Bahrain,2024,56440101359.4375
Bahrain,2025,59551844793.375
Bahrain,2026,62779202792.8125
Bahrain,2027,66124418914.0625
Bahrain,2028,69589742856.40625
Bahrain,2029,73177430472.71875
Bahrain,2030,76889743774.71875
Bangladesh,2021,309105643483.5
Bangladesh,2022,331949566948.0
Bangladesh,2023,355951879435.5
Bangladesh,2024,381142004403.5
Bangladesh,2025,407549447539.5
Bangladesh,2026,435203796887.0
Bangladesh,2027,464134722801.5
Bangladesh,2028,494371978202.0
Bangladesh,2029,525945398490.5
Bangladesh,2030,558884901753.5
