"country","healthGrade","pop2020"
"spain","92.7500","46754.7780"
"italy","91.5900","60461.8260"
"iceland","91.4400","341.2430"
"japan","91.3800","126476.4610"
"switzerland","90.9300","8654.6220"
"sweden","90.2400","10099.2650"
"australia","89.7500","25499.8840"
"singapore","89.2900","5850.3420"
"norway","89.0900","5421.2410"
"israel","88.1500","8655.5350"
"luxembourg","87.3900","625.9780"
"france","86.9400","65273.5110"
"austria","86.3000","9006.3980"
"finland","85.8900","5540.7200"
"netherlands","85.8600","17134.8720"
"canada","85.7000","37742.1540"
"south korea","85.4100","51269.1850"
"new zealand","85.0600","4822.2330"
"united kingdom","84.2800","67886.0110"
"ireland","84.0600","4937.7860"
"cyprus","83.5800","1207.3590"
"portugal","83.1000","10196.7090"
"germany","83.0600","83783.9420"
"slovenia","82.7200","2078.9380"
"denmark","82.6900","5792.2020"
"greece","82.2900","10423.0540"
"malta","81.7000","441.5430"
"belgium","80.4600","11589.6230"
"czech republic","77.5900","10708.9810"
"cuba","74.6600","11326.6160"
"croatia","73.3600","4105.2670"
"estonia","73.3200","1326.5350"
"costa rica","73.2100","5094.1180"
"chile","73.2100","19116.2010"
"united states","73.0200","331002.6510"
"bahrain","72.3100","1701.5750"
"qatar","71.9700","2881.0530"
"maldives","70.9500","540.5440"
"lebanon","70.5300","6825.4450"
"poland","70.2500","37846.6110"
"montenegro","69.6900","628.0660"
"bosnia and herzegovina","69.6600","3280.8190"
"albania","68.0400","2877.7970"
"brunei","67.9600","437.4790"
"slovakia","67.2800","5459.6420"
"united arab emirates","67.1400","9890.4020"
"uruguay","65.6600","3473.7300"
"hungary","64.4300","9660.3510"
"oman","64.0700","5106.6260"
"panama","64.0100","4314.7670"
"turkey","62.8100","84339.0670"
"china","62.5200","1439323.7760"
"mexico","62.0900","128932.7530"
"argentina","61.1900","45195.7740"
"serbia","60.9900","8737.3710"
"macedonia","60.2100","2083.3740"
