Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,4.012598924,4.130796618,4.79098829,11.25918122,5.140044047,7.322688277,4.968985791,4.042414418,6.540014545,8.314287698,4.35366898,
Africa Eastern and Southern,,,6.815104346,4.81770499,,,5.269071998,,7.404855493,7.834947261,8.200108668,4.944681069,,
Afghanistan,,,,,,,,,,,,,,
Africa Western and Central,,,,1.819348241,2.740516054,3.149650968,4.195751105,4.74156735,8.740670239,3.355487677,3.633242734,3.887880104,3.506402926,
Angola,,,,,,,,,15.62811007,16.23305508,24.23088033,5.780095724,,
Albania,,,1.328193373,1.464517198,1.016872891,0.926806811,0.890238032,0.257234811,1.634190385,0.784313359,0.088456603,0.044701906,,
Andorra,23.79385021,16.38991517,12.18845925,23.62984149,18.49709081,20.653714,23.59804612,20.68648753,22.64484316,24.2802468,23.25132289,28.46079139,,
Arab World,,,,,,1.816614389,1.808124286,3.949349682,3.228912772,1.874825264,1.764612628,2.136284136,1.925188804,
United Arab Emirates,,3.362965668,,,,3.766661334,3.60713495,10.35817374,5.311027422,2.617915296,2.721423758,3.052401088,2.895265863,
Argentina,7.038995659,9.380306072,9.072411085,7.748539738,7.359094505,6.674939563,7.485894854,7.088182385,9.282262488,9.022443729,9.247428305,5.402984041,5.21279068,
Armenia,1.139896007,1.573331283,2.842802044,2.324428013,3.373336197,2.850901413,3.027848224,3.021633743,5.651814027,6.13781179,7.550863596,7.055598424,9.794845162,
American Samoa,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,0.026055614,0.375050372,0.613426845,,
Australia,14.61950273,15.41497159,16.7798091,16.63547086,18.11314422,17.34872458,18.08936181,19.09525207,19.81792696,20.73105115,17.96185454,18.32479628,21.5247036,
Austria,12.98428367,12.66521649,13.43983175,13.70791913,13.25781917,14.546138,15.37014895,15.49076884,15.034673,14.45812551,12.88668608,11.655288,11.49867138,
Azerbaijan,4.309531058,1.149992989,1.016460646,1.36855164,1.789469204,8.559600609,13.77614203,8.637813107,4.464668791,2.853777778,3.301082291,4.345525454,,
Burundi,,,,,,,0.305334494,1.457298325,3.492667709,3.195982557,1.663621512,17.04276442,1.531362084,
Belgium,8.480223583,8.961013121,11.36851865,5.957551764,5.727983529,5.808224207,6.36699722,7.875526592,7.578716282,8.919014483,7.870466668,8.01386266,9.73229269,
Benin,,,,,,,1.275855655,4.135344225,0.964424885,1.244882881,3.581709205,2.842001305,1.249986579,
Burkina Faso,,,0.745313488,7.907497369,7.313790573,8.636258332,13.99286081,11.0463358,5.286721738,5.944967307,5.929276876,5.937123392,25.8025793,
Bangladesh,,0.435964057,0.305868196,0.213042263,0.194943639,0.463362869,0.299088588,,0.307870408,,,,,
Bulgaria,6.328294485,7.015804699,8.690957534,8.422352084,7.835516063,8.049051235,8.284397487,7.565260353,8.433162414,8.977701443,9.647832999,10.37540761,10.85245268,
Bahrain,,,0.031213136,0.110260452,0.152292189,0.386616226,0.592039173,1.499138744,0.935614434,1.058340088,0.62494863,0.449029825,,
"Bahamas, The",,,3.27E-05,0.001796119,,,,,,2.104436611,7.804787172,1.966124622,,
Bosnia and Herzegovina,,4.506225268,3.542955808,2.833620557,3.272615758,2.618258873,2.405615872,2.495167787,2.987863358,2.734753975,5.443816725,5.255468492,5.27087754,
Belarus,,2.433074381,3.185407177,3.051862026,2.559142336,2.833507753,4.595599079,4.162469406,4.472981216,4.870628508,4.390912958,4.052910582,4.251962495,
Belize,,,,,4.775579168,,,,,,8.17E-05,0.066546021,,0.938241071
Bermuda,,,,,,12.34846455,12.60000423,28.60412471,27.16155607,48.78536566,21.78900133,17.05593452,6.940522366,
Bolivia,4.675422114,4.429846111,4.931366643,8.396434114,13.266852,9.223496449,9.364909815,8.057902215,6.402594397,,,,,
Brazil,12.6985509,12.45746411,14.47452914,12.35322125,10.85046934,11.52449643,10.65130571,11.71722733,13.62314856,14.76575639,13.85253322,13.44294229,13.27405402,
Barbados,,,,,,,,,,,,,13.69191338,
Brunei Darussalam,,,20.67890885,28.81604835,22.55317594,15.14408947,17.03421204,9.513763647,19.5657169,13.80353103,30.35127697,0.042430082,8.503808747,
Bhutan,0.751439723,0.126757285,0.215969978,0.137310611,8.76E-05,0.02303265,,,,,,,,
Botswana,,,,,,,0.387967427,0.245767183,0.68877827,0.420866304,0.938314466,0.655100823,0.385021903,
Central African Republic,,,,22.62927138,0.032534625,1.413306999,0.289135277,,5.268427891,11.77186196,22.07636113,29.01931909,,
Canada,14.9010546,15.38765995,18.22358567,15.89718957,15.05172418,15.93129484,15.77685709,15.04505966,15.1461249,14.41885817,14.70105725,15.69048913,16.51307169,
Central Europe and the Baltics,10.92469381,11.32235094,12.91867136,13.24959662,12.95090723,12.64503558,12.4902688,12.66299604,13.19488625,13.20346953,13.02710231,13.06982608,13.14745182,
Switzerland,23.86086503,24.88606281,26.67118879,25.82741866,25.28558024,26.29905418,26.98907144,26.88887616,27.27706166,27.34750853,14.02940636,13.32709561,12.91396374,12.84748504
Channel Islands,,,,,,,,,,,,,,
