"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930167597.765363","1015642458.10056","1125139664.80447","1203910614.52514","1271508379.88827","1326256983.24022","1427374301.67598","1505586592.17877","1587709497.2067","1664804469.27374","1767039106.14525","1869273743.01676","2043575418.99441","2120670391.06145","2054189944.13408","2094413407.82123","2230167597.76536","2294972067.03911","2317821229.05028","2322533483.67158","2328514354.43757","2327949807.10832","2416911204.10962","2537790905.75659","","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","111011924276.435","117524339012.326","110293081402.825","94296925776.7458","109393814887.243","141235144063.822","144625745845.04","147310474150.458","166763606096.38","173289212007.682","178761771972.686","189431688466.802","202582631954.307","226550008156.255","223160767331.14","238182096927.421","226746403112.482","222442303828.249","236284568555.49","214494325840.64","214458481173.866","286681452840.245","356695815535.312","407811638131.644","445408278689.795","506126017319.21","530719958737.721","557567495652.008","661028217598.827","735822226927.446","759666920393.565","776493685882.835","778470401277.141","742883602381.423","703313993991.903","783784761326.424","811523124165.116","811654412831.764","744325262462.7",
"Afghanistan","AFG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444444","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","56123532462.8134","55268121036.7176","55722625887.1951","60691325315.4853","72215859551.4043","69214511311.6173","73356272870.8756","77033442596.1243","64119639199.6211","77502116071.5503","78444008010.4741","84343206616.3714","75228422706.8405","60523690424.9334","76052920060.6756","91441444793.9698","89856696494.6941","97190235354.1408","98084591390.3632","87486236795.2799","107273316037.033","131266514739.067","151154956731.996","182542376891.148","218303546048.02","254423122229.26","357626036269.124","412375931927.915","397686476531.806","454410777946.702","506058905030.771","510425651922.044","647802049999.449","669977676494.701","630423488186.602","581786257193.173","565306892073.78","598575294325.791","635654858848.745","623834563415.977",
"Angola","AGO","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3896731626.91101","6171664555.55606","9268944319.11638","11543958083.9688","13171613116.371","17739329570.8652","23251227788.1398","30360597136.3425","40382989442.0351","43668255685.8721","44279734274.3704","58374626097.0375","68191034640.9268","80897777871.1395","90986199538.3633","80379086228.0497","70692122430.8979","85631168586.5137","67740456485.2602","58850169039.58","42900690832.5476",
"Albania","ALB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","1350489534.15412","1365198182.30357","1510787487.5","1545825025","1571774975","1659124975","1660736837.5","1287582611.11111","1218994125.21241","1641562844.33558","2178257001.18258","2522368078.96653","3314541301.39169","2447593796.86435","2684992193.70204","3134797248.37075","3216796289.09505","3484217875.53947","3972822134.12836","5130526831.74818","6352358416.1386","7083949882.99825","7841920871.24401","9849228611.966","12040547663.3776","11072100831.6654","10646770101.4175","11508049492.6449","10941450415.1253","11633370651.0506","12201540481.6079","10453742764.6658","10939629296.9773","11861777665.827","13700536535.135","14051882371.3619","14135062126.093",
"Andorra","AND","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","27269358088.1112","29789576741.4545","33844550449.677","37700954294.6819","43689373104.708","51390692230.6947","66579151358.9395","91081691953.6987","111331173897.512","141455456387.559","168448051705.669","208807119601.641","247127691427.693","285359819661.866","321889450358.454","332381619279.115","342315255429.258","353230904767.047","370334683935.698","397293449807.29","371398714276.195","404924015914.373","467420342267.721","361156521679.835","377617423238.561","389112991040.321","400685935988.828","432502421171.599","470353945916.982","503337957566.121","514988958934.871","525306202564.904","542489531313.364","549123379474.783","556266668146.796","591509959935.414","677872957044.902","768323722920.659","886109647047.527","1061999410200.7","1272946294924.2","1303570458239.43","1395391168016.35","1390159939437.83","1508053416443.4","1602413186242.62","1735089611951.94","1712487618561.44","1698547296381.69","1669940583142.34","1758557041672.58","1827203144294.8","1887632155101.26",
"United Arab Emirates","ARE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71329996950.3063","78539648958.4752","84958535248.4684","102750490047.651","115984196514.636","139810327950.987","172367350932.607","207202731436.351","158522245827.093","151476538597.686","169551736746.086","156846944098.026","175245647270.252","190289734377.127","171335879972.771","173959205663.717","194803479128.659","211618507365.555","215044234538.602","",
"Argentina","ARG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","19376160455.8394","14985585096.2044","19434576526.3572","21399411627.8305","22272856090.9355","18504546348.9467","20416857848.8503","23757715275.0245","23591580209.0682","25465199608.0031","26309749588.8786","40565554072.2585","55867666353.7087","37081352153.5353","33780449868.9763","37911999742.129","40255409215.8497","51220430880.779","58617235878.9538","61178949170.177","63800156037.9318","78812915074.4254","61061001542.5307","68035001718.7087","89524443087.2662","89049048325.9559","98492044685.2822","59781714319.5528","113470334123.038","158920813529.103","194086408742.176","195824084384.384","213955318800","211354437000","220510438000","238353211100","243786711100","237777915000","236219366100","223201711200","72446391952.7293","95225639004.8535","124228047654.606","149393165256.55","176044924181.393","217144640947.557","277344288863.729","262658658519.665","336350991663.692","423649649448.919","445242277160.302","457042608919.298","433334542562.24","499614480942.488","464849978689.813","543457307147.989","447541502349.172","370296540776.456","307736435666.72",
