Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930167597.8,1015642458,1125139665,1203910615,1271508380,1326256983,1427374302,1505586592,1587709497,1664804469,1767039106,1869273743,2043575419,2120670391,2054189944,2094413408,2230167598,2294972067,2317821229,2322533484,2328514354,2327949807,2416911204,2537790906,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,1.11012E+11,1.17524E+11,1.10293E+11,94296925777,1.09394E+11,1.41235E+11,1.44626E+11,1.4731E+11,1.66764E+11,1.73289E+11,1.78762E+11,1.89432E+11,2.02583E+11,2.2655E+11,2.23161E+11,2.38182E+11,2.26746E+11,2.22442E+11,2.36285E+11,2.14494E+11,2.14458E+11,2.86681E+11,3.56696E+11,4.07812E+11,4.45408E+11,5.06126E+11,5.3072E+11,5.57567E+11,6.61028E+11,7.35822E+11,7.59667E+11,7.76494E+11,7.7847E+11,7.42884E+11,7.03314E+11,7.83785E+11,8.11523E+11,8.11654E+11,7.44325E+11
Afghanistan,466666655.6,477777737.8,466666655.6,702222244.4,762222182.2,995555555.6,1422222222,1711111100,1371111151,1386666667,1691108967,1826664358,1544444496,1637777771,1984444462,2173333413,2248888958,2680000058,2942222153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,56123532463,55268121037,55722625887,60691325315,72215859551,69214511312,73356272871,77033442596,64119639200,77502116072,78444008010,84343206616,75228422707,60523690425,76052920061,91441444794,89856696495,97190235354,98084591390,87486236795,1.07273E+11,1.31267E+11,1.51155E+11,1.82542E+11,2.18304E+11,2.54423E+11,3.57626E+11,4.12376E+11,3.97686E+11,4.54411E+11,5.06059E+11,5.10426E+11,6.47802E+11,6.69978E+11,6.30423E+11,5.81786E+11,5.65307E+11,5.98575E+11,6.35655E+11,6.23835E+11
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896731627,6171664556,9268944319,11543958084,13171613116,17739329571,23251227788,30360597136,40382989442,43668255686,44279734274,58374626097,68191034641,80897777871,90986199538,80379086228,70692122431,85631168587,67740456485,58850169040,42900690833
Albania,,,,,,,,,,,,,,,,,,,,,,,,,1350489534,1365198182,1510787488,1545825025,1571774975,1659124975,1660736838,1287582611,1218994125,1641562844,2178257001,2522368079,3314541301,2447593797,2684992194,3134797248,3216796289,3484217876,3972822134,5130526832,6352358416,7083949883,7841920871,9849228612,12040547663,11072100832,10646770101,11508049493,10941450415,11633370651,12201540482,10453742765,10939629297,11861777666,13700536535,14051882371,14135062126
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,27269358088,29789576741,33844550450,37700954295,43689373105,51390692231,66579151359,91081691954,1.11331E+11,1.41455E+11,1.68448E+11,2.08807E+11,2.47128E+11,2.8536E+11,3.21889E+11,3.32382E+11,3.42315E+11,3.53231E+11,3.70335E+11,3.97293E+11,3.71399E+11,4.04924E+11,4.6742E+11,3.61157E+11,3.77617E+11,3.89113E+11,4.00686E+11,4.32502E+11,4.70354E+11,5.03338E+11,5.14989E+11,5.25306E+11,5.4249E+11,5.49123E+11,5.56267E+11,5.9151E+11,6.77873E+11,7.68324E+11,8.8611E+11,1.062E+12,1.27295E+12,1.30357E+12,1.39539E+12,1.39016E+12,1.50805E+12,1.60241E+12,1.73509E+12,1.71249E+12,1.69855E+12,1.66994E+12,1.75856E+12,1.8272E+12,1.88763E+12
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71329996950,78539648958,84958535248,1.0275E+11,1.15984E+11,1.3981E+11,1.72367E+11,2.07203E+11,1.58522E+11,1.51477E+11,1.69552E+11,1.56847E+11,1.75246E+11,1.9029E+11,1.71336E+11,1.73959E+11,1.94803E+11,2.11619E+11,2.15044E+11,
Argentina,,,19376160456,14985585096,19434576526,21399411628,22272856091,18504546349,20416857849,23757715275,23591580209,25465199608,26309749589,40565554072,55867666354,37081352154,33780449869,37911999742,40255409216,51220430881,58617235879,61178949170,63800156038,78812915074,61061001543,68035001719,89524443087,89049048326,98492044685,59781714320,1.1347E+11,1.58921E+11,1.94086E+11,1.95824E+11,2.13955E+11,2.11354E+11,2.2051E+11,2.38353E+11,2.43787E+11,2.37778E+11,2.36219E+11,2.23202E+11,72446391953,95225639005,1.24228E+11,1.49393E+11,1.76045E+11,2.17145E+11,2.77344E+11,2.62659E+11,3.36351E+11,4.2365E+11,4.45242E+11,4.57043E+11,4.33335E+11,4.99614E+11,4.6485E+11,5.43457E+11,4.47542E+11,3.70297E+11,3.07736E+11
