Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.961401727,7.962872496,5.882352941,7.307692308,8.203902828,2.547143909,1.185788172,7.046873978,1.991985852,1.238042106,7.616588194,-2.971256724,-3.273646411,1.975547262,7.911563466,1.214349349,1.050607528,1.800225971,-0.090708046,-10.51974854,-3.685029387,3.44605475,-1.369863014,4.198232323,0.3,5.700000876,2.099999586,1.999999104,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,3.89351115,0.263525992,0.236791509,3.412195321,-0.073320925,2.223970589,3.848244719,4.246139329,2.545599585,0.116166259,-0.186462321,-2.514584507,-1.354084807,1.943574709,4.445560356,5.618803575,3.336851375,1.77701923,2.618887992,3.143733609,3.47070094,4.027574603,2.95051798,5.649874844,6.570202719,7.013669804,7.371995317,5.023262171,1.495846142,5.21651143,4.420509236,3.12690164,4.846061955,4.451771133,3.025974666,2.294710634,3.111469081,2.668322499,2.050958586,-2.929510951
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-1.934778249
Africa Western and Central,,1.869754337,3.763086358,7.312636711,5.450582248,4.036111476,-1.750039853,-9.522029223,1.505685566,15.51864603,17.93155053,10.8309841,3.165055485,4.221596348,10.23055581,-2.124900836,8.653430964,4.725397687,-2.198847189,5.227471408,1.938513669,-6.950267216,-3.360148194,-6.570738485,0.498971178,5.535994773,1.393772633,1.448864985,4.879481963,2.285922269,6.577794123,1.123939783,2.695884912,-1.148544561,-0.296739095,1.971768831,4.652553943,3.708612362,3.556131393,1.441433456,3.53480536,5.443883404,9.996153951,5.732397837,7.842012615,5.887188855,5.264616569,5.596795233,6.166092324,6.245776241,6.70119384,4.934815922,5.286321453,6.019888615,5.908563095,2.832692845,0.117369031,2.278490489,2.927756336,3.198693792,-0.934727636
Angola,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001428,6.000002164,3.49999949,2.900001743,4.082748636,6.128890476,0.041621462,-3.450098684,0.991359301,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.403932543,3.471976345,8.542187643,4.954544646,4.822627568,0.943571561,-2.580049644,-0.147212941,-2.003629727,-0.624644318,-4.04051
Albania,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-28.00214166,-7.187110916,9.559411694,8.302866591,13.32233332,9.099999444,-10.91998409,8.830087709,12.88989673,6.950036134,8.290070027,4.53996064,5.530050778,5.509998693,5.529914809,5.900083957,5.979982036,7.49996956,3.350066528,3.706892301,2.545321845,1.417525992,1.00198715,1.774486785,2.218752232,3.314804753,3.802197488,4.071301295,2.173692288,-3.311239444
Andorra,,,,,,,,,,,,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546003523,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.95605842
Arab World,,,,,,,,,,,,,,,,,15.77877866,8.332713743,-0.602943498,11.57114639,9.127124717,3.210250472,-8.832142175,-6.651156144,1.575901037,-2.207842177,4.7480622,-0.43545891,5.762401229,2.260552847,12.73587913,2.206707694,5.016628192,3.072561878,3.275335161,2.894227105,4.601949128,4.255495206,5.137405861,1.899598459,6.70493959,1.644024771,0.528377416,4.729055802,9.0749094,5.456800088,6.165543812,4.635315315,5.900221347,0.707018755,4.775505264,3.92690012,6.048720595,3.419452921,2.717669348,3.058921026,3.260393765,1.036327494,2.216737519,1.662007706,-4.380114778
United Arab Emirates,,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.284303686,5.105936984,3.060964308,2.37353671,1.189855638,1.677720373,
Argentina,,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,1.518783949,-5.18978914,-0.735659162,4.34909328,1.570738702,-5.189024352,6.153377063,2.704868826,-1.089933342,-7.156949656,-2.467213776,9.133110566,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.565351882,-2.088014861,-9.905234856
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998793,5.400002779,6.89999842,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.6
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,3.338898164,-1.453957997,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,4.383627921,8.079745337,8.161430797,3.814916166,-0.084012264,5.364016273,10.16499559,7.643793597,11.49382857,6.626368847,5.2132729,5.252274656,3.011714686,2.176578603,1.158475191,5.279878709,6.676707103,-4.359587382,6.604459721,5.471608482,4.731125092,3.70761791,6.203431254,-4.548003473,1.02744197,6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.497788456,3.144598617,6.950416555,3.351160885,-15.97350964
Australia,,2.485769492,1.296087352,6.214630395,6.978522159,5.983505989,2.382458423,6.30262019,5.0958138,7.044329321,7.172186576,4.003683534,3.91252353,2.613723151,4.103362161,1.349916787,2.5876962,3.597427567,0.896879846,4.043486692,3.034245871,3.337768138,3.328441934,-2.220470122,4.581297219,5.249329609,4.037528851,2.551170459,5.743381585,3.861173516,3.570998147,-0.3978177,0.412184701,4.029906461,3.983890153,3.837755293,3.878585293,3.966537662,4.576688759,5.073599095,3.933136945,1.930857592,4.001404062,2.985934322,4.055451968,3.204269793,2.794537024,3.844230316,3.657953526,1.93699392,2.067417128,2.462756312,3.918162871,2.584897702,2.533114665,2.192647426,2.770652197,2.300610624,2.949285772,2.160956295,-0.284839298
