Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,1082577,703388,1269221,3656986,1702027,2236381,1265878,1255860,2011640,2562959,1655305,1788368
Africa Eastern and Southern,,,,,,,3030523260,3106709270,3292875337,3084595317,2624117073,2658268464,,
Afghanistan,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,293118465,,,,
Angola,,,,,,,,,126472559,126442410,112647525,98225931,,
Albania,,,10128935,14074208,11890517,10059840,10843586,1960836,16607486,10199913,1119016,591717,1753203,5055767
Andorra,33424896,17935435,10402350,19545650,18990187,19714197,21595662,18015814,17999514,21706225,24235417,33913480,,
Arab World,,,,,,,,3218662442,3220480652,2717668706,2819151355,,,
United Arab Emirates,,214703082,,,,493096465,401364038,1493181545,905209769,484009162,501084756,677692019,637938263,
Argentina,1215431790,2026087341,1615045571,1700363226,1936261822,1664145543,1797685979,1515780203,1484221227,1339371534,1494147748,647172436,561915854,546445776
Armenia,5195605,7247588,5130103,4727601,7448895,7581095,9332592,9307631,11860132,21845876,28235643,36293329,45646416,28653375
American Samoa,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,162,3183,11437,,
Australia,3880514289,4487704547,3866842538,4589861226,5651820508,5488081110,5367019937,5487641576,5123915237,5406743775,4837243928,5274079796,6411061180,5709107539
Austria,16729869892,17679273513,14167226735,15804923820,17850022700,18477385978,20794516765,21648681499,18086949416,17339815988,17027611644,16687499480,15989939763,15988002803
Azerbaijan,16910321,7425965,4537422,7200494,10676252,45374670,73400927,37909594,15948624,11900634,14069403,21177989,27996627,36524219
Burundi,,,,,,,51849,392605,762345,600998,224837,2019594,224575,
Belgium,28396289840,31722414899,32200637217,18132848199,19821494036,18634181992,23059238990,26820816140,22603227669,27221436333,25316664433,28309448235,33056860462,35086802572
Benin,,,,,,,569796,3987990,1561772,579607,4003045,1408703,1203811,
Burkina Faso,,,374996,2902764,3163722,11006441,14219334,13834481,5736310,6875574,5267965,6531273,34864593,
Bangladesh,,62132642,44116907,37563901,43978821,105405034,68647409,,93608711,,,,,
