,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Denmark,197.75,117.53,77.98,77.07,28.53,23.60,82.42
1,Finland,195.30,119.42,76.30,75.40,33.23,12.07,58.63
2,Netherlands,191.25,109.48,71.06,81.08,32.73,27.16,86.93
3,Switzerland,190.81,126.15,78.24,71.73,29.28,23.01,79.78
4,Austria,190.22,98.69,79.59,78.80,27.02,22.87,77.74
5,Germany,190.04,125.01,63.35,75.44,31.25,27.32,82.53
6,Australia,188.70,122.98,57.45,76.21,36.32,24.76,92.41
7,New Zealand,182.40,98.61,60.85,71.95,34.48,21.77,96.10
8,United States,180.56,127.62,50.42,68.38,34.74,31.70,78.23
9,Sweden,176.81,113.01,50.74,70.42,30.68,19.10,75.08
10,Estonia,176.44,74.82,79.17,71.35,32.73,17.17,63.61
11,Norway,176.27,107.95,56.67,74.66,31.04,20.22,71.89
12,Japan,176.04,107.35,86.90,81.72,44.48,41.66,84.82
13,Slovenia,175.36,80.33,75.29,64.69,27.78,26.25,76.30
14,Spain,174.92,90.67,63.26,77.49,31.42,38.11,93.94
15,Canada,173.90,118.92,60.72,70.58,36.07,27.70,52.82
16,United Kingdom,171.89,108.54,58.80,74.19,35.75,37.71,87.92
17,Portugal,166.71,61.97,65.46,69.50,30.28,30.53,97.45
18,France,166.22,101.21,54.71,78.03,35.03,40.41,89.80
19,Belgium,164.00,98.91,57.83,80.43,34.63,48.92,86.14
20,United Arab Emirates,163.54,124.78,81.25,63.48,37.49,55.78,45.43
21,Ireland,163.53,96.10,56.18,53.02,37.47,28.66,89.43
22,Taiwan,163.28,106.38,79.26,82.00,33.15,63.25,83.79
23,Croatia,162.36,59.77,73.00,63.83,29.55,32.73,88.83
24,Czech Republic,162.01,76.35,71.19,75.36,30.30,41.02,77.87
25,Qatar,159.62,125.05,84.30,70.50,34.78,70.24,45.48
26,South Korea,155.38,109.36,64.17,83.40,37.24,52.87,67.20
27,Slovakia,155.37,67.29,69.85,64.42,32.17,40.67,77.66
28,Israel,152.25,102.30,63.10,74.05,36.73,60.27,93.61
29,Singapore,150.45,95.89,83.77,69.61,45.99,33.94,57.99
30,Saudi Arabia,149.58,131.46,63.31,60.19,34.01,71.72,41.02
31,Lithuania,148.98,57.29,62.41,66.81,28.69,33.14,68.76
32,Poland,146.58,74.42,63.77,62.08,33.60,51.12,75.80
33,Italy,146.13,81.07,55.47,68.01,37.01,53.11,91.38
34,Romania,144.05,66.20,70.96,54.56,33.40,53.04,76.19
35,South Africa,137.89,99.83,24.29,62.96,43.26,62.15,95.98
36,Greece,137.43,53.80,60.93,54.18,32.16,52.85,92.58
37,Hungary,132.31,50.62,63.49,51.09,34.12,46.57,78.51
38,Argentina,131.85,60.15,38.21,71.31,41.55,53.64,98.22
39,Bulgaria,129.69,54.44,60.30,52.11,31.12,63.03,81.58
40,Bosnia And Herzegovina,129.33,52.40,59.95,55.90,27.48,61.56,78.89
41,Turkey,127.64,53.78,58.94,70.42,46.29,69.44,93.16
42,Mexico,126.42,58.18,48.95,68.62,42.03,66.13,82.49
43,Serbia,123.48,41.81,62.24,53.42,28.95,56.58,82.93
44,Chile,122.73,54.53,53.52,61.90,35.07,66.79,90.21
45,India,122.09,79.27,55.84,67.39,46.76,75.89,65.68
46,Malaysia,116.05,72.98,36.95,65.64,37.60,66.52,58.11
47,Indonesia,112.89,37.49,55.28,65.95,42.75,60.66,68.19
48,Colombia,112.15,38.59,49.34,67.80,48.10,62.47,96.72
49,Hong Kong,110.28,82.86,79.10,63.81,41.26,69.35,83.64
50,Russia,103.32,51.11,54.80,56.77,48.26,63.26,44.70
51,Thailand,101.18,38.59,52.75,80.87,39.21,72.86,68.64
52,Pakistan,100.35,41.11,48.77,57.47,41.55,77.50,71.90
53,Brazil,100.13,41.55,29.45,52.65,45.27,59.48,94.23
54,China,99.43,72.28,60.56,62.88,42.55,85.89,78.81
55,Philippines,99.11,34.02,59.87,68.22,44.24,72.55,60.63
56,Ukraine,95.96,30.24,50.61,50.11,38.50,67.24,70.20
57,Iran,92.43,45.60,50.60,51.22,49.46,81.21,69.54
58,Egypt,84.42,24.67,46.28,44.42,46.69,87.64,91.98
