Year,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
2009,Romania,30.29,3.8,3.81,26.32,26.28,,
2009,Latvia,27.08,3.39,2.24,29.52,44.68,,
2009,Ukraine,24.13,4.31,3.66,23.23,27.31,446.84,0.22
2009,Poland,23.9,2.87,2.78,34.9,36,,
2009,Russia,23.73,3.88,3.19,25.74,31.34,,
2009,Lithuania,22.5,2.73,2.35,36.59,42.48,,
2009,Philippines,21.95,3.58,3.84,27.97,26.05,,
2009,South Korea,21.29,1.29,1.32,77.27,75.58,168.58,0.59
2009,Hong Kong,21.19,2.24,3.78,44.6,26.43,,
2009,Thailand,19.75,3.81,3.34,26.22,29.95,,
2009,Bulgaria,15.91,3.97,4.97,25.19,20.1,,
2009,Serbia,15.9,3.23,3.84,30.95,26.04,196.89,0.51
2009,Slovenia,15.2,3.29,3.36,30.36,29.79,,
2009,Slovakia,15.1,4.13,3.43,24.19,29.13,,
2009,China,15.01,4.28,4.4,23.37,22.72,,
2009,Czech Republic,14.89,3.55,3.53,28.15,28.33,149.44,0.67
2009,United Kingdom,14.73,1.71,2.32,58.62,43.02,121.63,0.82
2009,Singapore,14.35,4.45,5.69,22.45,17.58,,
2009,Bosnia And Herzegovina,14.17,3.13,3.58,31.91,27.93,164.05,0.61
2009,Estonia,14.08,2.5,1.87,40.03,53.57,141.33,0.71
2009,Hungary,13.89,3.21,3.59,31.16,27.88,,
2009,Israel,12.4,4,4.65,25,21.52,,
2009,Greece,11.92,3.28,2.95,30.51,33.89,110.91,0.9
2009,France,11.75,3.08,3.95,32.44,25.32,93.05,1.07
2009,Italy,11.31,4.25,3.83,23.52,26.08,,
2009,Spain,10.9,2.34,2.79,42.66,35.85,,
2009,Malaysia,10.53,4.21,4.97,23.77,20.11,,
2009,Japan,10.5,2.17,3.24,46.09,30.82,,
2009,Indonesia,10.32,8.26,9,12.1,11.11,88.7,1.13
2009,Argentina,10.04,3.12,3.72,32.1,26.87,,
2009,United Arab Emirates,9.74,4.26,5.82,23.47,17.18,,
2009,United States,8.9,2.37,3.83,42.13,26.12,69.73,1.43
2009,Ireland,8.25,3.62,3.77,27.65,26.55,76.8,1.3
2009,Finland,8.22,3.11,3.97,32.14,25.21,,
2009,Portugal,7.75,3.81,3.71,26.28,26.95,,
2009,India,7.69,3.59,4.43,27.83,22.56,77.14,1.3
2009,Canada,7.09,5,5.61,19.99,17.83,57.3,1.75
2009,Brazil,6.96,6.42,6.81,15.57,14.68,,
2009,Netherlands,6.53,6.19,5.65,16.17,17.69,49.57,2.02
2009,Peru,6.52,6.06,6.12,16.5,16.33,,
2009,Australia,6.52,2.75,3.19,36.43,31.35,,
2009,Switzerland,6.43,5.07,4.94,19.74,20.24,,
2009,Mexico,6.02,6.44,7.28,15.53,13.74,,
2009,Bahrain,5.74,14.4,14.22,6.94,7.03,,
2009,Norway,5.56,3.16,3.55,31.63,28.17,,
2009,Jordan,5.36,10.67,12.53,9.38,7.98,59.92,1.67
2009,Turkey,5.35,10.76,9.76,9.29,10.25,,
2009,Sweden,5.34,2.71,3.21,36.95,31.2,,
2009,Austria,5.23,6,5.61,16.66,17.84,42.78,2.34
2009,Belgium,4.28,7.75,7,12.9,14.29,,
2009,Cyprus,4.23,4.39,4.65,22.76,21.52,,
2009,Chile,4.06,10.46,5.93,9.56,16.85,,
2009,Germany,3.76,4.15,3.97,24.11,25.21,29.75,3.36
2010,Morocco,67.5,5.8,5.81,17.24,17.22,13500,0.01
2010,Pakistan,40.63,0.88,2.25,113.52,44.38,752.44,0.13
2010,Belarus,40,7.53,3.19,13.27,31.36,704.06,0.14
2010,Montenegro,30,1.25,1.47,79.79,67.82,323.9,0.31
2010,Russia,28.58,3.38,3.71,29.55,26.94,383.6,0.26
2010,Romania,24.28,5.02,4.41,19.92,22.67,333.12,0.3
2010,Lithuania,20.84,3.38,2.64,29.62,37.83,596.14,0.17
2010,Serbia,18.8,2.84,3.6,35.23,27.77,232.86,0.43
2010,Latvia,18.33,4.04,2.61,24.76,38.3,212.3,0.47
2010,Ukraine,17.37,4.55,5.34,22,18.73,300.44,0.33
2010,China,17.13,4.75,4.99,21.07,20.06,131.14,0.76
2010,Spain,16.67,2.73,3.38,36.63,29.59,114.86,0.87
2010,Hungary,16.48,3.56,3.93,28.12,25.47,165.45,0.6
2010,South Korea,16.29,2.21,1.37,45.18,72.77,182.18,0.55
2010,Thailand,15.96,5.9,5.36,16.96,18.67,160.18,0.62
2010,Indonesia,15.84,8.26,9,12.1,11.11,136.2,0.73
2010,Paraguay,15.56,4.65,3.27,21.49,30.59,468.06,0.21
2010,Albania,15.38,2.51,4.96,39.82,20.16,121.84,0.82
2010,Bosnia And Herzegovina,15.28,1.77,2.54,56.45,39.37,176.92,0.57
2010,Slovakia,15.1,4.13,3.43,24.19,29.13,114.64,0.87
2010,Czech Republic,14.89,3.66,3.33,27.31,30.03,149.44,0.67
2010,Iran,14.58,7.52,8.65,13.31,11.56,184.62,0.54
2010,Singapore,14.35,3.54,3.69,28.27,27.08,89.17,1.12
2010,Italy,14.34,3.35,4.25,29.87,23.56,119.87,0.83
2010,Estonia,14.08,2.5,1.86,40.03,53.84,141.33,0.71
2010,Bulgaria,13.87,5.08,5.24,19.69,19.09,159.83,0.63
2010,Japan,13.61,2.01,2.65,49.87,37.8,75.09,1.33
2010,Poland,13.58,4.31,3.92,23.2,25.52,123.07,0.81
2010,Croatia,12.73,3.52,4.08,28.41,24.52,123.04,0.81
2010,France,12.68,2.86,3.24,35,30.89,100.44,1
2010,Greece,12.22,3.19,2.78,31.34,36,113.72,0.88
2010,United Kingdom,12.03,2.83,2.69,35.35,37.21,97.93,1.02
2010,Argentina,11.82,3.94,5.48,25.38,18.26,661.87,0.15
2010,Portugal,11.57,3.76,3.55,26.63,28.15,66.34,1.51
2010,Malaysia,11.27,2.3,3.75,43.49,26.69,81.92,1.22
2010,India,11.02,3.84,3.77,26.05,26.53,120.72,0.83
2010,Jordan,10.92,8.95,9.34,11.17,10.71,115.82,0.86
2010,Israel,10.88,4.2,7.74,23.81,12.93,75.72,1.32
2010,Sri Lanka,9.82,5.4,7.35,18.51,13.61,91.37,1.09
2010,Colombia,9.52,4.19,5.89,23.85,16.99,212.24,0.47
2010,United Arab Emirates,8.61,5.9,7.91,16.95,12.64,89.71,1.11
2010,Norway,8.13,3.92,4.34,25.49,23.06,61.71,1.62
2010,Denmark,8,5,4.71,19.99,21.21,60.72,1.65
2010,Ireland,7.66,3.77,3.83,26.54,26.09,71.3,1.4
2010,Venezuela,7.64,11.83,13.76,8.45,7.27,100.92,0.99
2010,Mexico,7.43,6.33,5.48,15.81,18.26,230.8,0.43
2010,Kyrgyzstan,7.19,10.25,16.19,9.76,6.18,101.05,0.99
2010,Peru,6.72,8.67,7.43,11.54,13.46,202.09,0.49
2010,Netherlands,6.5,5.91,5.38,16.93,18.58,50.39,1.98
2010,Australia,6.3,3.07,4.8,32.56,20.82,58.06,1.72
2010,Brazil,6.29,5.39,6.85,18.55,14.59,64.03,1.56
2010,Finland,6.22,3.28,4.26,30.52,23.48,42.33,2.36
2010,Canada,6.2,4.58,5.33,21.81,18.77,48.07,2.08
2010,Ecuador,5.8,10.38,9.96,9.64,10.04,74.26,1.35
2010,Bahrain,5.74,14.4,14.22,6.94,7.03,59.79,1.67
2010,Turkey,5.56,6.47,5.9,15.46,16.94,75.85,1.32
2010,Switzerland,5.41,4.56,4.47,21.94,22.37,39.34,2.54
2010,Austria,5.23,6,5.61,16.66,17.84,42.78,2.34
2010,Cyprus,5.13,4.35,4.18,23,23.94,38.94,2.57
2010,South Africa,5.1,12.27,7.19,8.15,13.91,57.08,1.75
2010,Bangladesh,5.03,5.56,9.39,18,10.65,75.1,1.33
2010,Honduras,4.76,11.6,9.4,8.62,10.64,62.92,1.59
2010,Germany,4.32,4.54,4.14,22.02,24.18,30.74,3.25
2010,Belgium,4.28,7.75,7,12.9,14.29,33.86,2.95
2010,Sweden,4.19,3.4,4.32,29.38,23.17,33.85,2.95
2010,Chile,4.06,10.46,5.93,9.56,16.85,50.34,1.99
2010,Dominican Republic,3.54,11.27,11.62,8.88,8.61,49.79,2.01
2011,Ethiopia,43.75,28.64,19.09,3.49,5.24,472.36,0.21
2011,Lebanon,34,4.99,6.06,20.04,16.5,354.07,0.28
2011,Russia,33.8,3.48,3.84,28.73,26.07,467.02,0.21
2011,Montenegro,30,3.34,3.79,29.96,26.41,323.9,0.31
2011,Algeria,30,3.44,3.48,29.1,28.74,279.11,0.36
2011,China,29.59,3.98,4.05,25.16,24.71,221.66,0.45
2011,Hong Kong,29.25,3.17,2.8,31.51,35.67,184.3,0.54
2011,Monaco,27.5,5.26,2.41,19.01,41.53,217.79,0.46
2011,Tunisia,24.8,1.61,1.95,61.99,51.36,338.17,0.3
2011,Lithuania,24.03,3.32,2.99,30.08,33.49,484.31,0.21
2011,Czech Republic,22.43,2.38,3.45,42.04,28.97,178.89,0.56
2011,Thailand,22.07,6.12,7.63,16.34,13.11,197.43,0.51
2011,Serbia,21.27,3.22,3.61,31.05,27.73,239.62,0.42
2011,South Korea,20.82,1.39,1.27,71.76,78.72,163.17,0.61
2011,Moldova,20.35,5.81,4.92,17.21,20.34,522.17,0.19
2011,Albania,20.08,1.84,4.75,54.24,21.07,194.15,0.52
2011,Taiwan,19.86,1.39,1.96,72.13,50.95,115.77,0.86
2011,Trinidad And Tobago,19.57,3.99,5.98,25.09,16.72,292.04,0.34
2011,Kazakhstan,18.75,8,11.77,12.49,8.49,279.79,0.36
2011,Egypt,18.39,9.94,8.45,10.06,11.84,171.05,0.58
2011,Morocco,18.32,4.95,5.74,20.19,17.42,188.5,0.53
2011,Ukraine,18.05,5.63,5.07,17.75,19.72,322.35,0.31
2011,Pakistan,17.79,3.47,3.94,28.83,25.39,330.66,0.3
2011,Indonesia,17.49,10.08,9.05,9.92,11.05,150.37,0.67
2011,Singapore,17.13,3.76,4.14,26.62,24.16,108.26,0.92
2011,Belarus,16.96,6.27,4.32,15.94,23.13,325.97,0.31
2011,Romania,16.38,4.13,4.22,24.2,23.69,180.83,0.55
2011,Armenia,15.77,12.4,8.24,8.07,12.13,214.94,0.47
2011,Paraguay,15.06,4.74,3.38,21.11,29.6,321.35,0.31
2011,Latvia,14.17,4.7,3.33,21.29,30.05,124.81,0.8
2011,Spain,13.29,3.35,4.03,29.82,24.8,92.68,1.08
2011,Bosnia And Herzegovina,12.79,2.22,3.14,45.06,31.83,130.82,0.76
2011,Slovenia,12.76,4.18,3.57,23.9,28,114.2,0.88
2011,Sri Lanka,12.59,8.38,10.27,11.93,9.74,131.1,0.76
