Year,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
2009,Ireland,126.05,85.85,110.11,154.51,131.56,59.80
2009,Netherlands,123.76,71.86,103.17,90.11,108.51,41.55
2009,France,120.92,77.74,103.79,115.38,118.28,45.46
2009,Belgium,117.53,78.77,102.16,110.88,107.56,55.58
2009,Sweden,112.54,33.33,81.12,98.95,85.25,62.79
2009,Austria,110.39,65.99,92.78,97.71,84.80,54.37
2009,Germany,109.85,39.96,82.12,92.60,89.25,74.00
2009,Israel,106.80,58.82,87.77,110.47,67.16,42.46
2009,Italy,105.76,77.87,94.70,99.07,101.99,41.78
2009,South Korea,102.07,34.72,75.35,149.99,102.74,38.46
2009,United Kingdom,100.21,71.82,88.95,93.27,97.18,66.35
2009,United States,91.68,58.01,78.33,83.66,80.22,97.97
2009,Portugal,88.96,36.41,68.12,51.06,60.34,41.20
2009,Australia,83.34,48.19,69.40,98.87,76.74,120.04
2009,Canada,82.27,61.49,74.03,99.73,65.05,74.74
2009,Chile,79.86,22.06,56.93,55.43,40.81,40.40
2009,Greece,77.40,36.97,61.36,74.50,78.06,38.26
2009,Singapore,74.66,107.56,87.71,110.78,91.09,56.13
2009,Hong Kong,74.50,56.21,67.25,95.14,88.66,45.78
2009,Czech Republic,74.18,46.15,63.06,63.76,54.65,33.00
2009,Brazil,70.46,37.24,57.28,73.55,51.76,47.06
2009,Latvia,68.80,43.53,58.77,37.87,49.32,22.19
2009,Jordan,66.43,19.69,47.89,88.69,62.05,15.89
2009,South Africa,64.74,44.64,56.77,53.34,40.79,54.23
2009,Serbia,62.67,29.33,49.44,51.60,60.36,25.12
2009,Hungary,62.05,28.81,48.87,50.34,43.26,32.03
2009,Colombia,58.52,19.85,43.18,60.98,44.27,28.44
2009,Bahrain,58.01,82.35,67.67,70.11,67.20,48.96
2009,Mexico,54.16,22.39,41.56,39.96,48.66,42.91
2009,Poland,53.51,34.76,46.07,40.69,44.58,26.90
2009,Bosnia And Herzegovina,49.63,13.06,35.12,58.76,35.99,18.57
2009,Bolivia,46.72,21.76,36.82,27.09,37.16,32.47
2009,China,43.47,25.07,36.17,58.35,35.17,35.04
2009,Thailand,39.85,24.49,33.76,53.30,25.32,33.42
