Year,Country,Health Care Index
2014,Denmark,85.62
2014,Thailand,85.44
2014,Japan,85.03
2014,France,82.28
2014,Austria,79.67
2014,South Korea,79.17
2014,Taiwan,78.33
2014,Belgium,78.04
2014,New Zealand,77.83
2014,Argentina,76.75
2014,Sri Lanka,76.67
2014,Estonia,76.34
2014,Norway,75.71
2014,Israel,75.43
2014,Germany,75.26
2014,Sweden,75.22
2014,Spain,75.17
2014,Jordan,74.1
2014,Australia,73.55
2014,United Kingdom,73.52
2014,Canada,71.94
2014,Hong Kong,71.83
2014,Mexico,70.64
2014,Philippines,69.84
2014,Malaysia,69.35
2014,Lithuania,69.26
2014,Cyprus,68.73
2014,Finland,68.69
2014,United States,68.58
2014,Colombia,68.52
2014,Switzerland,67.95
2014,Czech Republic,66.27
2014,Kuwait,66.2
2014,Netherlands,66.17
2014,China,65.12
2014,Italy,65.05
2014,Latvia,65
2014,Portugal,64.8
2014,India,64.62
2014,Costa Rica,63.89
2014,Slovakia,63.52
2014,Singapore,61.82
2014,Albania,61.44
2014,Slovenia,61.31
2014,Egypt,61.3
2014,United Arab Emirates,60.65
2014,Indonesia,60.23
2014,Kazakhstan,60.19
2014,Puerto Rico,59.93
2014,Uruguay,59.58
2014,South Africa,59.44
2014,Ecuador,59.39
2014,Morocco,59.29
2014,Greece,59.02
2014,Chile,58.68
2014,Bulgaria,58.04
2014,Peru,57.64
2014,Turkey,57.54
2014,Montenegro,56.94
2014,Croatia,55.94
2014,Lebanon,55.36
2014,Poland,54.83
2014,Bosnia And Herzegovina,54.42
2014,Serbia,54.35
2014,Cambodia,53.84
2014,Brazil,53.72
2014,Bolivia,51.52
2014,Saudi Arabia,50.42
2014,Nigeria,50.42
2014,Pakistan,50.4
2014,Iran,48.6
2014,Oman,48.15
2014,Belarus,48.02
2014,Romania,47.27
2014,Ukraine,47.1
2014,Hungary,46.58
2014,Russia,43.45
2014,Ireland,42.57
2014,Venezuela,41.05
2014,North Macedonia,33.12
2014,Iraq,28.47
2015,Japan,87.07
2015,Bahrain,84.44
2015,Taiwan,84.29
2015,France,82.58
2015,Thailand,82.47
2015,Malta,82.18
2015,Panama,82.14
2015,Hong Kong,80.6
2015,Denmark,79.28
2015,Dominican Republic,78.7
2015,Austria,78.42
2015,Cyprus,78.36
2015,South Korea,78.15
2015,Belgium,77.86
2015,Turkmenistan,77.22
2015,Israel,76.35
2015,Sweden,76.29
2015,Luxembourg,76.11
2015,Qatar,75.86
2015,Germany,75.61
2015,Norway,75.46
2015,Argentina,75.18
2015,Sri Lanka,74.29
2015,Cuba,74.03
2015,Turkey,74
2015,United Kingdom,73.88
2015,Spain,73.21
2015,Estonia,73.08
2015,New Zealand,72.61
2015,Australia,71.85
2015,Philippines,71.66
2015,Tunisia,71.02
2015,Lithuania,70.11
2015,Jordan,69.71
2015,Canada,69.6
2015,Finland,69.37
2015,Malaysia,69.14
2015,Colombia,68.92
2015,Uruguay,67.92
2015,Mexico,67.79
2015,United States,67.75
2015,Albania,67.41
2015,Czech Republic,67.24
2015,Netherlands,67.23
2015,Latvia,67.13
2015,India,66.86
2015,Kuwait,66.57
2015,Switzerland,66.31
2015,Singapore,66.14
2015,Indonesia,66.09
2015,Italy,65.78
2015,Lebanon,65.78
2015,Portugal,65.62
2015,Peru,64.68
2015,Nepal,63.38
2015,Ecuador,63.08
2015,Kenya,62.7
2015,Georgia,62.59
2015,Costa Rica,61.95
2015,South Africa,60.09
2015,Saudi Arabia,59.02
2015,Kazakhstan,58.86
2015,Puerto Rico,58.74
2015,China,58.74
2015,Chile,58.55
2015,Bulgaria,58.47
2015,Iceland,58.43
2015,Poland,58.03
2015,Morocco,57.76
2015,Slovakia,57.34
2015,Croatia,57.26
2015,Algeria,57.22
2015,Montenegro,56.94
2015,Greece,56.73
2015,United Arab Emirates,55.6
2015,Egypt,54.69
2015,Paraguay,54.44
2015,Trinidad And Tobago,54.35
2015,Cambodia,54.17
2015,Serbia,54.12
2015,Slovenia,53.93
2015,Moldova,52.69
2015,Brazil,52.15
2015,Bosnia And Herzegovina,52.08
2015,Russia,51.8
2015,Hungary,51.58
2015,Pakistan,51.16
2015,Iran,50.12
2015,Bolivia,49.75
2015,Ireland,49.53
2015,Armenia,48.33
2015,Oman,48.15
2015,Romania,46.57
2015,Belarus,45.39
2015,Ukraine,44.27
2015,Bangladesh,43.25
2015,Guam,39.86
2015,Venezuela,38.52
2015,Nigeria,38.4
2015,North Macedonia,35.12
2015,Vietnam,34.26
2015,Iraq,30
2015,Mongolia,28.29
2015,Azerbaijan,23.94
2016,Taiwan,86.43
2016,France,82.25
2016,Denmark,81.89
2016,Thailand,80.8
2016,Japan,80.42
2016,South Korea,78.97
2016,Belgium,78.06
2016,Austria,77.78
2016,Israel,76.07
2016,Spain,75.89
2016,Germany,75.85
2016,Finland,74.36
2016,Sweden,74.33
2016,Hong Kong,74.3
2016,Iceland,74.26
2016,Norway,74.23
2016,United Kingdom,74.03
2016,Argentina,73.73
2016,Australia,73.71
2016,Colombia,73.22
2016,Turkey,73.03
2016,Cyprus,72.93
2016,New Zealand,72.6
2016,Czech Republic,72.35
2016,Philippines,72.25
2016,Netherlands,70.43
2016,Estonia,69.91
2016,Jordan,69.27
2016,Singapore,69.06
2016,Portugal,69.03
2016,Switzerland,68.88
2016,Canada,68.62
2016,Mexico,68.13
2016,Italy,67.76
2016,United States,67.76
2016,Lithuania,67.38
2016,India,66.47
2016,Malaysia,66.45
2016,Ecuador,65.69
2016,Saudi Arabia,65.09
2016,Indonesia,62.56
2016,Pakistan,61.27
2016,China,61.2
2016,Chile,61.05
2016,Bosnia And Herzegovina,60.52
2016,Poland,60.01
2016,North Macedonia,59.99
2016,Croatia,59.96
2016,South Africa,59.58
2016,Greece,59.17
2016,Slovakia,58.58
2016,Slovenia,58.47
2016,United Arab Emirates,58.2
2016,Puerto Rico,56.99
2016,Serbia,55.88
2016,Russia,54.15
2016,Hungary,52.07
2016,Romania,51.43
2016,Brazil,51.09
2016,Bulgaria,50.93
2016,Ireland,50.38
2016,Iran,49.83
2016,Ukraine,49.69
2016,Egypt,46.58
2017,South Korea,83.2
2017,Netherlands,82.5
2017,Taiwan,81.14
2017,Austria,80.91
2017,Thailand,80.66
2017,Sri Lanka,80.04
2017,Belgium,78.92
2017,Japan,78.63
2017,France,78.62
2017,Germany,76.74
2017,Spain,76.65
2017,Malta,76.18
2017,Denmark,75.45
2017,Finland,74.85
2017,Israel,74.78
2017,United Kingdom,74.28
2017,Australia,74.25
2017,Norway,74.19
2017,Czech Republic,74.09
2017,Argentina,73.3
2017,Jordan,71.92
2017,Turkey,71.68
2017,Estonia,71.3
2017,Switzerland,71.04
2017,Sweden,70.64
2017,New Zealand,70.58
2017,Portugal,70.31
2017,Mexico,70.11
2017,Singapore,69.87
2017,Ecuador,69.24
2017,Canada,69.23
2017,India,69.18
2017,Philippines,69.16
2017,Lithuania,68.74
2017,United States,68.22
2017,Hong Kong,67.99
2017,Uruguay,67.11
2017,Italy,66.31
2017,Qatar,66.14
2017,Malaysia,65.99
2017,Colombia,65.79
2017,Tunisia,65.73
2017,Iceland,65.64
2017,Croatia,65.49
2017,Indonesia,64.8
2017,Slovenia,64.35
2017,Lebanon,64.28
2017,North Macedonia,63.46
2017,Slovakia,62.63
2017,China,62.25
2017,South Africa,61.72
2017,Bosnia And Herzegovina,61.49
2017,Poland,61.46
2017,Chile,60.97
2017,United Arab Emirates,60.49
2017,Saudi Arabia,60.41
2017,Costa Rica,60.19
2017,Pakistan,59.05
2017,Peru,58.46
2017,Kuwait,57.6
2017,Russia,56.4
