,Year,Country,Health Care Index,Health CareExp. Index
0,2014,Denmark,85.62,159.20
1,2014,Thailand,85.44,158.07
2,2014,Japan,85.03,156.04
3,2014,France,82.28,152.30
4,2014,Austria,79.67,147.29
5,2014,South Korea,79.17,146.12
6,2014,Taiwan,78.33,142.66
7,2014,Belgium,78.04,143.12
8,2014,New Zealand,77.83,142.32
9,2014,Argentina,76.75,141.40
10,2014,Sri Lanka,76.67,141.62
11,2014,Estonia,76.34,140.18
12,2014,Norway,75.71,139.79
13,2014,Israel,75.43,138.81
14,2014,Germany,75.26,138.28
15,2014,Sweden,75.22,138.43
16,2014,Spain,75.17,139.63
17,2014,Jordan,74.10,136.02
18,2014,Australia,73.55,134.54
19,2014,United Kingdom,73.52,135.28
20,2014,Canada,71.94,133.08
21,2014,Hong Kong,71.83,131.53
22,2014,Mexico,70.64,127.50
23,2014,Philippines,69.84,125.55
24,2014,Malaysia,69.35,126.15
25,2014,Lithuania,69.26,126.66
26,2014,Cyprus,68.73,122.93
27,2014,Finland,68.69,123.65
28,2014,United States,68.58,127.73
29,2014,Colombia,68.52,122.72
30,2014,Switzerland,67.95,128.08
31,2014,Czech Republic,66.27,123.40
32,2014,Kuwait,66.20,122.87
33,2014,Netherlands,66.17,121.85
34,2014,China,65.12,117.91
35,2014,Italy,65.05,119.20
36,2014,Latvia,65.00,122.21
37,2014,Portugal,64.80,118.98
38,2014,India,64.62,115.29
39,2014,Costa Rica,63.89,114.54
40,2014,Slovakia,63.52,115.65
41,2014,Singapore,61.82,117.09
42,2014,Albania,61.44,111.45
43,2014,Slovenia,61.31,114.70
44,2014,Egypt,61.30,109.45
45,2014,United Arab Emirates,60.65,113.43
46,2014,Indonesia,60.23,107.28
47,2014,Kazakhstan,60.19,114.05
48,2014,Puerto Rico,59.93,113.56
49,2014,Uruguay,59.58,108.17
50,2014,South Africa,59.44,107.66
51,2014,Ecuador,59.39,110.52
52,2014,Morocco,59.29,108.70
53,2014,Greece,59.02,105.45
54,2014,Chile,58.68,104.98
55,2014,Bulgaria,58.04,106.14
56,2014,Peru,57.64,103.69
57,2014,Turkey,57.54,101.18
58,2014,Montenegro,56.94,103.74
59,2014,Croatia,55.94,103.38
60,2014,Lebanon,55.36,101.49
61,2014,Poland,54.83,100.16
62,2014,Bosnia And Herzegovina,54.42,97.78
63,2014,Serbia,54.35,97.28
64,2014,Cambodia,53.84,97.44
65,2014,Brazil,53.72,97.24
66,2014,Bolivia,51.52,90.69
67,2014,Saudi Arabia,50.42,90.34
68,2014,Nigeria,50.42,93.24
69,2014,Pakistan,50.40,88.49
70,2014,Iran,48.60,85.27
71,2014,Oman,48.15,87.23
72,2014,Belarus,48.02,85.01
73,2014,Romania,47.27,83.74
74,2014,Ukraine,47.10,83.12
75,2014,Hungary,46.58,83.76
76,2014,Russia,43.45,74.96
77,2014,Ireland,42.57,79.14
78,2014,Venezuela,41.05,70.52
79,2014,North Macedonia,33.12,61.07
80,2014,Iraq,28.47,46.44
81,2015,Japan,87.07,160.36
82,2015,Bahrain,84.44,155.52
83,2015,Taiwan,84.29,155.00
84,2015,France,82.58,152.42
85,2015,Thailand,82.47,151.67
86,2015,Malta,82.18,151.90
87,2015,Panama,82.14,151.16
88,2015,Hong Kong,80.60,148.14
89,2015,Denmark,79.28,147.69
90,2015,Dominican Republic,78.70,142.95
91,2015,Austria,78.42,144.87
92,2015,Cyprus,78.36,142.35
93,2015,South Korea,78.15,142.55
94,2015,Belgium,77.86,142.95
95,2015,Turkmenistan,77.22,141.22
96,2015,Israel,76.35,139.90
97,2015,Sweden,76.29,140.32
98,2015,Luxembourg,76.11,141.03
99,2015,Qatar,75.86,141.20
100,2015,Germany,75.61,138.94
101,2015,Norway,75.46,139.19
102,2015,Argentina,75.18,137.31
103,2015,Sri Lanka,74.29,135.14
104,2015,Cuba,74.03,137.82
105,2015,Turkey,74.00,133.75
106,2015,United Kingdom,73.88,135.74
107,2015,Spain,73.21,135.58
108,2015,Estonia,73.08,134.89
109,2015,New Zealand,72.61,131.98
110,2015,Australia,71.85,130.92
111,2015,Philippines,71.66,129.15
112,2015,Tunisia,71.02,128.87
113,2015,Lithuania,70.11,127.23
114,2015,Jordan,69.71,127.49
115,2015,Canada,69.60,128.41
116,2015,Finland,69.37,125.51
117,2015,Malaysia,69.14,125.68
118,2015,Colombia,68.92,123.58
119,2015,Uruguay,67.92,123.87
120,2015,Mexico,67.79,121.36
121,2015,United States,67.75,126.19
122,2015,Albania,67.41,122.47
123,2015,Czech Republic,67.24,124.57
124,2015,Netherlands,67.23,124.20
125,2015,Latvia,67.13,125.45
126,2015,India,66.86,119.75
127,2015,Kuwait,66.57,124.45
128,2015,Switzerland,66.31,125.22
129,2015,Singapore,66.14,123.70
130,2015,Indonesia,66.09,119.27
131,2015,Italy,65.78,120.39
132,2015,Lebanon,65.78,120.22
133,2015,Portugal,65.62,118.87
134,2015,Peru,64.68,119.32
135,2015,Nepal,63.38,114.00
136,2015,Ecuador,63.08,115.10
137,2015,Kenya,62.70,113.97
138,2015,Georgia,62.59,111.44
139,2015,Costa Rica,61.95,110.75
140,2015,South Africa,60.09,107.88
141,2015,Saudi Arabia,59.02,108.00
142,2015,Kazakhstan,58.86,110.26
143,2015,Puerto Rico,58.74,110.15
144,2015,China,58.74,105.71
145,2015,Chile,58.55,106.46
146,2015,Bulgaria,58.47,105.84
147,2015,Iceland,58.43,108.69
148,2015,Poland,58.03,105.49
149,2015,Morocco,57.76,102.60
150,2015,Slovakia,57.34,102.77
151,2015,Croatia,57.26,105.30
152,2015,Algeria,57.22,103.95
153,2015,Montenegro,56.94,103.74
154,2015,Greece,56.73,100.23
155,2015,United Arab Emirates,55.60,103.82
156,2015,Egypt,54.69,96.77
157,2015,Paraguay,54.44,105.11
158,2015,Trinidad And Tobago,54.35,98.68
159,2015,Cambodia,54.17,97.62
160,2015,Serbia,54.12,95.97
161,2015,Slovenia,53.93,98.58
162,2015,Moldova,52.69,102.37
163,2015,Brazil,52.15,92.94
164,2015,Bosnia And Herzegovina,52.08,93.16
165,2015,Russia,51.80,90.23
166,2015,Hungary,51.58,92.77
167,2015,Pakistan,51.16,88.34
168,2015,Iran,50.12,88.72
169,2015,Bolivia,49.75,85.52
170,2015,Ireland,49.53,90.03
171,2015,Armenia,48.33,87.88
172,2015,Oman,48.15,87.23
173,2015,Romania,46.57,82.19
174,2015,Belarus,45.39,80.73
175,2015,Ukraine,44.27,77.47
176,2015,Bangladesh,43.25,76.99
177,2015,Guam,39.86,72.50
178,2015,Venezuela,38.52,66.47
179,2015,Nigeria,38.40,68.27
180,2015,North Macedonia,35.12,66.23
181,2015,Vietnam,34.26,60.20
182,2015,Iraq,30.00,51.46
183,2015,Mongolia,28.29,55.02
184,2015,Azerbaijan,23.94,44.99
185,2016,Taiwan,86.43,159.12
186,2016,France,82.25,151.29
187,2016,Denmark,81.89,152.13
188,2016,Thailand,80.80,147.95
189,2016,Japan,80.42,146.98
190,2016,South Korea,78.97,143.37
191,2016,Belgium,78.06,142.84
192,2016,Austria,77.78,143.35
193,2016,Israel,76.07,139.59
194,2016,Spain,75.89,140.08
195,2016,Germany,75.85,138.96
196,2016,Finland,74.36,135.21
197,2016,Sweden,74.33,136.58
198,2016,Hong Kong,74.30,136.83
199,2016,Iceland,74.26,135.40
200,2016,Norway,74.23,136.12
201,2016,United Kingdom,74.03,135.73
202,2016,Argentina,73.73,134.46
203,2016,Australia,73.71,134.21
204,2016,Colombia,73.22,132.54
205,2016,Turkey,73.03,131.69
206,2016,Cyprus,72.93,131.61
207,2016,New Zealand,72.60,131.52
208,2016,Czech Republic,72.35,133.07
209,2016,Philippines,72.25,130.36
210,2016,Netherlands,70.43,128.88
211,2016,Estonia,69.91,129.11
212,2016,Jordan,69.27,125.93
213,2016,Singapore,69.06,127.52
214,2016,Portugal,69.03,124.97
215,2016,Switzerland,68.88,128.63
216,2016,Canada,68.62,126.24
217,2016,Mexico,68.13,121.84
218,2016,Italy,67.76,123.65
219,2016,United States,67.76,125.75
220,2016,Lithuania,67.38,121.31
221,2016,India,66.47,118.88
222,2016,Malaysia,66.45,119.78
223,2016,Ecuador,65.69,118.53
224,2016,Saudi Arabia,65.09,117.74
225,2016,Indonesia,62.56,111.60
226,2016,Pakistan,61.27,108.52
227,2016,China,61.20,109.05
228,2016,Chile,61.05,110.37
229,2016,Bosnia And Herzegovina,60.52,109.15
230,2016,Poland,60.01,108.31
231,2016,North Macedonia,59.99,106.52
232,2016,Croatia,59.96,110.36
233,2016,South Africa,59.58,106.67
234,2016,Greece,59.17,104.67
235,2016,Slovakia,58.58,104.92
236,2016,Slovenia,58.47,107.05
237,2016,United Arab Emirates,58.20,107.00
238,2016,Puerto Rico,56.99,106.56
239,2016,Serbia,55.88,100.89
240,2016,Russia,54.15,94.66
241,2016,Hungary,52.07,92.65
242,2016,Romania,51.43,90.66
243,2016,Brazil,51.09,90.40
244,2016,Bulgaria,50.93,91.00
245,2016,Ireland,50.38,91.67
246,2016,Iran,49.83,88.55
247,2016,Ukraine,49.69,87.00
248,2016,Egypt,46.58,80.71
249,2017,South Korea,83.20,152.14
250,2017,Netherlands,82.50,151.34
251,2017,Taiwan,81.14,148.12
252,2017,Austria,80.91,148.90
253,2017,Thailand,80.66,147.46
254,2017,Sri Lanka,80.04,146.12
255,2017,Belgium,78.92,144.43
256,2017,Japan,78.63,143.27
257,2017,France,78.62,144.00
258,2017,Germany,76.74,140.31
259,2017,Spain,76.65,141.24
260,2017,Malta,76.18,139.03
261,2017,Denmark,75.45,139.21
262,2017,Finland,74.85,136.08
263,2017,Israel,74.78,136.91
264,2017,United Kingdom,74.28,135.95
265,2017,Australia,74.25,135.08
266,2017,Norway,74.19,135.78
267,2017,Czech Republic,74.09,136.05
268,2017,Argentina,73.30,133.68
269,2017,Jordan,71.92,131.35
270,2017,Turkey,71.68,129.20
271,2017,Estonia,71.30,130.71
272,2017,Switzerland,71.04,133.06
273,2017,Sweden,70.64,129.58
274,2017,New Zealand,70.58,127.90
275,2017,Portugal,70.31,127.45
276,2017,Mexico,70.11,125.70
277,2017,Singapore,69.87,129.40
278,2017,Ecuador,69.24,124.87
279,2017,Canada,69.23,127.13
280,2017,India,69.18,124.52
281,2017,Philippines,69.16,124.10
282,2017,Lithuania,68.74,123.71
283,2017,United States,68.22,125.94
284,2017,Hong Kong,67.99,124.21
285,2017,Uruguay,67.11,120.67
286,2017,Italy,66.31,120.46
287,2017,Qatar,66.14,119.54
288,2017,Malaysia,65.99,118.63
289,2017,Colombia,65.79,117.82
290,2017,Tunisia,65.73,117.37
291,2017,Iceland,65.64,119.12
292,2017,Croatia,65.49,121.03
293,2017,Indonesia,64.80,115.88
294,2017,Slovenia,64.35,117.51
295,2017,Lebanon,64.28,118.54
296,2017,North Macedonia,63.46,113.28
297,2017,Slovakia,62.63,113.35
298,2017,China,62.25,111.03
299,2017,South Africa,61.72,110.65
300,2017,Bosnia And Herzegovina,61.49,110.37
301,2017,Poland,61.46,110.68
302,2017,Chile,60.97,109.82
303,2017,United Arab Emirates,60.49,111.23
304,2017,Saudi Arabia,60.41,108.26
305,2017,Costa Rica,60.19,107.67
306,2017,Pakistan,59.05,104.36
307,2017,Peru,58.46,104.83
308,2017,Kuwait,57.60,105.95
309,2017,Russia,56.40,99.19
310,2017,Puerto Rico,56.28,103.88
311,2017,Cyprus,54.23,94.54
312,2017,Bulgaria,54.03,96.67
313,2017,Greece,53.92,94.91
314,2017,Serbia,53.86,97.42
315,2017,Belarus,53.76,94.69
316,2017,Hungary,53.46,95.40
317,2017,Ireland,53.33,96.26
318,2017,Romania,53.11,93.55
319,2017,Nigeria,52.33,91.41
320,2017,Brazil,51.70,91.48
321,2017,Iran,51.55,91.37
322,2017,Ukraine,49.81,86.74
323,2017,Vietnam,47.87,81.70
324,2017,Iraq,45.92,79.04
325,2017,Morocco,44.50,75.42
326,2017,Egypt,43.73,75.36
327,2017,Bangladesh,43.49,75.19
328,2018,South Korea,83.40,152.57
329,2018,Taiwan,82.00,149.84
330,2018,Japan,81.72,149.41
331,2018,Netherlands,81.08,148.53
332,2018,Thailand,80.87,147.68
333,2018,Belgium,80.43,147.44
334,2018,Austria,78.80,144.68
335,2018,France,78.03,142.77
336,2018,Sri Lanka,77.94,141.66
337,2018,Spain,77.49,142.81
338,2018,Denmark,77.07,142.18
339,2018,Australia,76.21,138.78
340,2018,Germany,75.44,137.58
341,2018,Finland,75.40,137.04
342,2018,Czech Republic,75.36,138.42
343,2018,Norway,74.66,136.37
344,2018,United Kingdom,74.19,135.82
345,2018,Israel,74.05,135.62
346,2018,New Zealand,71.95,130.38
347,2018,Switzerland,71.73,134.81
348,2018,Estonia,71.35,130.34
349,2018,Argentina,71.31,129.71
350,2018,Canada,70.58,129.59
351,2018,Qatar,70.50,127.95
352,2018,Sweden,70.42,129.31
353,2018,Turkey,70.42,126.58
354,2018,Singapore,69.61,129.37
355,2018,Portugal,69.50,125.92
356,2018,Mexico,68.62,122.68
357,2018,United States,68.38,126.08
358,2018,Philippines,68.22,122.05
359,2018,Italy,68.01,123.63
360,2018,Colombia,67.80,121.80
361,2018,India,67.39,120.97
362,2018,Lithuania,66.81,120.36
363,2018,Indonesia,65.95,118.26
364,2018,Malaysia,65.64,117.74
365,2018,Iceland,65.51,119.08
366,2018,Slovenia,64.69,118.78
367,2018,Slovakia,64.42,116.83
368,2018,Croatia,63.83,117.88
369,2018,Hong Kong,63.81,115.85
370,2018,United Arab Emirates,63.48,117.30
371,2018,South Africa,62.96,113.14
372,2018,China,62.88,112.31
373,2018,North Macedonia,62.73,111.93
374,2018,Poland,62.08,111.74
375,2018,Chile,61.90,112.43
376,2018,Uruguay,60.41,108.64
377,2018,Saudi Arabia,60.19,107.31
378,2018,Pakistan,57.47,101.05
379,2018,Russia,56.77,99.92
380,2018,Puerto Rico,56.34,103.51
381,2018,Bosnia And Herzegovina,55.90,100.90
382,2018,Cyprus,55.06,96.16
383,2018,Romania,54.56,96.08
384,2018,Greece,54.18,95.49
385,2018,Serbia,53.42,96.82
386,2018,Ireland,53.02,96.44
387,2018,Brazil,52.65,93.08
388,2018,Vietnam,52.45,90.51
389,2018,Bulgaria,52.11,92.67
390,2018,Iran,51.22,90.18
391,2018,Hungary,51.09,91.72
392,2018,Ukraine,50.11,87.37
393,2018,Bangladesh,44.56,76.47
394,2018,Egypt,44.42,76.45
395,2018,Morocco,41.00,69.00
396,2019,Taiwan,86.22,158.61
397,2019,South Korea,84.51,155.06
398,2019,Japan,80.40,146.82
399,2019,Belgium,79.44,145.30
400,2019,Denmark,79.41,146.57
